,adm_0_name,adm_1_name,adm_2_name,full_name,ISO_A0,FAO_GAUL_code,RNE_iso_code,IBGE_code,calendar_start_date,calendar_end_date,Year,dengue_total,case_definition_standardised,S_res,T_res,UUID
137,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-07-25,2004-07-31,2004,218,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
138,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-08-01,2004-08-07,2004,305,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
139,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-08-08,2004-08-14,2004,251,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
140,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-08-15,2004-08-21,2004,278,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
141,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-08-22,2004-08-28,2004,329,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
142,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-08-29,2004-09-04,2004,274,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
143,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-09-05,2004-09-11,2004,308,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
144,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-09-12,2004-09-18,2004,260,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
145,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-09-19,2004-09-25,2004,326,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
146,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-09-26,2004-10-02,2004,301,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
147,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-10-03,2004-10-09,2004,241,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
148,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-10-10,2004-10-16,2004,269,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
149,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-10-17,2004-10-23,2004,307,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
150,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-10-24,2004-10-30,2004,258,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
151,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-10-31,2004-11-06,2004,255,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
152,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-11-07,2004-11-13,2004,190,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
153,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-11-14,2004-11-20,2004,261,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
154,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-11-21,2004-11-27,2004,314,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
155,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-11-28,2004-12-04,2004,297,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
156,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-12-05,2004-12-11,2004,304,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
157,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-12-12,2004-12-18,2004,326,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
158,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-12-19,2004-12-25,2004,288,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
159,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2004-12-26,2005-01-01,2004,243,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
161,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2005-01-02,2005-01-08,2005,335,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
162,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2005-01-09,2005-01-15,2005,297,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
163,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2005-01-16,2005-01-22,2005,254,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
164,SINGAPORE,,,SINGAPORE,SGP,222,SGP,,2005-01-23,2005-01-29,2005,285,Confirmed,Admin0,Week,MOH-SGP-20002011-Y01-03
